,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.25394569,17.14527902,18.46632395,19.00016435,21.74309677,24.12823676,21.86479074,23.97044935,22.20863082,21.40315823,21.69406164,20.93755326,20.36556574,20.82534371,21.2124221,19.9413812,17.64428338,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,13.38910416,12.12039578,13.23091413,13.5794674,14.19974579,14.78758357,13.79337865,14.24138954,15.40599949,16.13204632,16.55646917,16.70123085,16.33131155,17.38664219,18.35703743,18.02989398,16.98022199,18.06632509,19.45704964,20.80340751,18.43503425,17.84197899,17.11722847,18.31612007,18.84692691,20.79663358,21.29563621,21.43126931,22.0150698,21.82883758,23.16845819,24.31188564,28.42295189,26.94962635,23.24923773,23.05416331,23.1497766,23.33476889,23.5211675,24.71572201,24.04738747,23.51605801,23.8198834,23.83344798,23.07479889,21.94010648,22.55227992,23.16304206,24.08231222,
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.61660216,16.53522569,16.1241883,15.20214544,14.99790912,14.28605679,14.77632841,14.39409093,14.67065961,14.49221399,14.93425978,15.36370664,14.47194809,14.22476356,14.62269251,13.69102756,13.60054036,13.51508771,14.40314698,14.82192296,14.98638406,14.32344196,14.68562902,14.77064978,14.80677862,14.65729131,14.5245717,14.07311681,12.9358385,12.64198839,,
Germany,,,,,,,,,,,,,,,,10.74473725,10.87953474,10.4369869,10.00821006,10.13320859,10.45257002,10.45495529,10.34198839,10.2450315,10.02002594,9.758673113,9.714810318,10.15365763,10.15975787,9.901606254,10.04782153,9.780639994,10.21330279,9.796391993,11.5872607,11.70005088,11.41839371,11.62403021,11.44400057,10.86126436,10.69647922,10.79270735,11.41139204,11.65871548,10.95626113,10.83441278,11.00758208,10.48032306,10.71182564,10.93208253,11.46808695,11.62479534,11.83027573,11.30096405,11.74695485,11.90977653,12.09184314,12.04738759,11.99390728,11.83113222,11.98069112,11.96124892,11.91055991,11.16838956,11.49518831,11.30533531,10.72138668,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,29.00948072,28.93349015,29.13802715,26.75502087,26.5288296,27.11027051,28.15556526,28.59254952,28.65327022,28.23845178,27.24741204,27.95106935,29.12684451,30.60349438,32.8665236,32.28985716,32.44939231,31.42378246,29.73096071,29.13863754,29.47620421,30.86625853,31.58950446,31.73556832,32.02924749,31.82212194,32.20707291,32.08930834,31.50094176,30.19267544,30.19371284,30.27389183,31.23567868,32.98969075,31.89289097,35.14183977,33.42277906,32.97678129,32.76371433,32.8089691,33.51467416,33.79614269,36.58507238,34.15604274,33.49032674,33.27970952,32.38392367,34.97739054,34.47093025,35.00401229,30.66927192,31.40416907,
Dominican Republic,,,,,,,,,,,,,,,,13.8522693,13.43824633,14.42048057,16.08135141,13.26331773,12.53733296,11.35096316,11.03149778,10.30718945,9.712615556,7.978324503,8.457150294,9.022770398,9.69124559,11.28189554,11.2446214,11.70088735,12.3845918,10.29678928,7.590817698,10.87033538,11.15446274,10.53415802,10.57462484,10.34434253,11.40878793,11.43166966,11.52929548,12.16441366,13.38050699,13.21672761,11.74514298,12.52188432,13.69816112,13.99475989,14.88626837,14.17023127,12.64568227,12.22081855,12.31492377,13.05227283,13.5308948,13.41953177,12.94651444,13.0122121,13.24059299,13.18604533,13.35079773,12.50903439,14.36350038,13.90610303,14.45348574,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.950835909,9.442256779,10.04335794,10.55758282,10.49430863,10.36930491,10.57071508,10.49136327,10.24313659,9.997209065,9.702729221,9.437971746,9.688515058,9.349517653,8.861469954,8.444501155,8.342947239,8.120033968,8.241451012,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,12.63109425,12.96865374,13.51984044,13.73016789,13.98326567,,14.14296888,,,,13.58392852,12.94416791,12.8607624,12.35454139,12.62561285,12.21577437,11.96835775,12.36985809,11.4112908,11.89662076,11.78306161,12.0536315,12.83144645,11.53815129,,,,,,,,,,13.06272098,12.22013841,12.07666383,12.0335624,12.12136946,12.36338793,12.14401516,12.69021541,12.85333898,12.68458491,13.20779017,,,,12.06736279,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.17485744,11.60646907,12.14000691,12.45974635,12.10304056,11.89979582,12.08915073,12.13721659,11.97141599,11.73998646,11.48508962,11.39157238,11.63660438,11.55741671,11.17623208,10.71522774,10.87158283,10.8975553,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.89290144,16.65732057,13.48162695,,,,,,,,,,18.0453656,17.80074378,17.75124565,17.75418178,16.90169651,17.40254543,16.99736254,16.94150612,16.91132741,16.45778653,16.53910589,15.97035565,16.23274828,16.37324807,15.57694319,16.97201909,
Europe & Central Asia,,,,,,,,,,,,,,,,16.1797134,15.55772546,15.97500612,15.80051012,16.42449064,16.49516639,16.37210913,16.24685307,16.89420376,17.11009362,17.49037297,17.40846702,17.37173518,17.63234957,17.95624601,17.85641156,17.83701723,17.80782067,18.17165609,18.78130954,18.6690129,18.33958119,18.65977993,19.26335189,19.40385109,19.82575833,20.10960514,19.85267941,20.17157484,19.8710498,19.37609461,19.16659221,18.8773644,19.49739577,19.80086907,20.00910126,19.63483215,18.53959601,18.9223885,19.13889763,19.2293841,19.471072,19.48006303,19.20882516,19.09579278,19.27763649,19.41774116,19.33025978,19.03211417,19.63355161,19.68200801,19.44630506,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.12323391,14.02067573,16.38905349,14.54177065,13.68930431,14.29254857,13.40088959,12.94143459,12.73586841,13.08919818,,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,20.52161459,17.33138442,25.5179722,23.07109664,21.28519787,,26.24429969,21.6957606,21.08270677,18.44620253,17.25469169,16.31972789,14.57087379,14.34902597,13.83896104,13.2348643,14.73777778,18.48023005,18.76417526,19.04742857,17.62303922,17.46294682,15.96464836,,,,,13.4077593,13.34994012,13.83597775,14.0686351,15.82951271,15.34985231,15.32052485,15.66136058,14.13007625,14.0086354,12.38490476,13.49806493,12.22014085,12.5192111,,,,,,,,,
